Season,RoundNumber,GrandPrix,CornerNumber,Direction,CenterX,CenterY,Radius,Equation
2019,5,Spanish Grand Prix,10.0,Left,685.2400456896698,1777.8985125733225,198.19974139960698,(x - 685.24)^2 + (y - 1777.90)^2 = 39283.14
2019,5,Spanish Grand Prix,11.0,Left,-225.47556687047165,1529.012510950039,643.8387214915456,(x - -225.48)^2 + (y - 1529.01)^2 = 414528.30
2019,5,Spanish Grand Prix,12.0,Right,-1079.941508672852,2423.9851754739816,605.9518464267576,(x - -1079.94)^2 + (y - 2423.99)^2 = 367177.64
2019,5,Spanish Grand Prix,13.0,Right,-155.87842486412995,3391.417483443216,382.62784115480383,(x - -155.88)^2 + (y - 3391.42)^2 = 146404.06
2019,5,Spanish Grand Prix,14.0,Left,893.3153923993875,3230.5650028652667,166.8757316286501,(x - 893.32)^2 + (y - 3230.57)^2 = 27847.51
2019,5,Spanish Grand Prix,15.0,Right,1260.7791636801214,3166.679315899466,153.34587025354207,(x - 1260.78)^2 + (y - 3166.68)^2 = 23514.96
2019,5,Spanish Grand Prix,16.0,Right,1383.2112286363256,2101.559526208798,958.0558482307623,(x - 1383.21)^2 + (y - 2101.56)^2 = 917871.01
2019,6,Monaco Grand Prix,1.0,Right,-4661.36728047035,-6179.746669158263,3023.77266161928,(x - -4661.37)^2 + (y - -6179.75)^2 = 9143201.11
2019,6,Monaco Grand Prix,2.0,Left,-16950.234040179927,-3521.7002507593097,9588.108727904391,(x - -16950.23)^2 + (y - -3521.70)^2 = 91931828.98
2019,6,Monaco Grand Prix,3.0,Right,-7301.569510562346,-4756.910325757911,141.66166091048558,(x - -7301.57)^2 + (y - -4756.91)^2 = 20068.03
2019,6,Monaco Grand Prix,4.0,Right,-1764.3111540641053,-32209.10519045503,28202.846422840994,(x - -1764.31)^2 + (y - -32209.11)^2 = 795400546.35
2019,6,Monaco Grand Prix,5.0,Left,-7045.4772405397125,2165.545103195205,6752.976715974786,(x - -7045.48)^2 + (y - 2165.55)^2 = 45602694.53
2019,6,Monaco Grand Prix,6.0,Right,-3335.9966887157257,-5378.86644452512,1653.4608865910805,(x - -3336.00)^2 + (y - -5378.87)^2 = 2733932.90
2019,6,Monaco Grand Prix,7.0,Left,-3016.8793169706214,-2877.8983262092434,770.5818986756193,(x - -3016.88)^2 + (y - -2877.90)^2 = 593796.46
2019,6,Monaco Grand Prix,8.0,Right,-2148.2757843498416,-1878.6102696968471,592.0490774119814,(x - -2148.28)^2 + (y - -1878.61)^2 = 350522.11
2019,6,Monaco Grand Prix,9.0,Right,-1425.10232920616,-435.21531928686454,245.91604217538526,(x - -1425.10)^2 + (y - -435.22)^2 = 60474.70
2019,6,Monaco Grand Prix,10.0,Left,-652.8354573927965,-441.1265930445973,547.3337661052154,(x - -652.84)^2 + (y - -441.13)^2 = 299574.25
2019,6,Monaco Grand Prix,11.0,Left,-805.9197580346054,-1016.3033447070725,114.15798038939658,(x - -805.92)^2 + (y - -1016.30)^2 = 13032.04
2019,6,Monaco Grand Prix,12.0,Right,-264.53538440810553,-412.0972233473663,725.247659670494,(x - -264.54)^2 + (y - -412.10)^2 = 525984.17
2019,6,Monaco Grand Prix,13.0,Right,-791.307064545095,-653.9709297908995,153.81282067003184,(x - -791.31)^2 + (y - -653.97)^2 = 23658.38
2019,6,Monaco Grand Prix,14.0,Right,-790.5249150254054,-501.4629858670715,246.01484048342053,(x - -790.52)^2 + (y - -501.46)^2 = 60523.30
2019,6,Monaco Grand Prix,15.0,Right,-406.66827699288916,-397.5292877617695,244.70765697225937,(x - -406.67)^2 + (y - -397.53)^2 = 59881.84
2019,6,Monaco Grand Prix,16.0,Right,-2210.9700309582913,-1905.3530535400434,1770.7072524896173,(x - -2210.97)^2 + (y - -1905.35)^2 = 3135404.17
2019,6,Monaco Grand Prix,17.0,Left,-4154.303684445422,-4466.0524501550535,67.85612355818849,(x - -4154.30)^2 + (y - -4466.05)^2 = 4604.45
2019,6,Monaco Grand Prix,18.0,Right,-4391.220450523394,-4453.825042717966,209.33235308085085,(x - -4391.22)^2 + (y - -4453.83)^2 = 43820.03
2019,6,Monaco Grand Prix,19.0,Left,-4634.443392921486,-4725.892624963441,152.46748840500345,(x - -4634.44)^2 + (y - -4725.89)^2 = 23246.34
2019,6,Monaco Grand Prix,20.0,Left,-5894.647259473375,-5838.792662061677,1301.0323561042285,(x - -5894.65)^2 + (y - -5838.79)^2 = 1692685.19
2019,6,Monaco Grand Prix,21.0,Right,-7611.999776878574,-6968.504687379056,764.0863936114757,(x - -7612.00)^2 + (y - -6968.50)^2 = 583828.02
2019,6,Monaco Grand Prix,22.0,Right,-6882.671219015204,-7816.656197772837,172.9449310738911,(x - -6882.67)^2 + (y - -7816.66)^2 = 29909.95
2019,6,Monaco Grand Prix,23.0,Left,-6751.595262712512,-8084.695159336268,181.41937879073677,(x - -6751.60)^2 + (y - -8084.70)^2 = 32912.99
2019,6,Monaco Grand Prix,24.0,Left,-5564.244454759528,-8204.739491322214,1270.5713636227727,(x - -5564.24)^2 + (y - -8204.74)^2 = 1614351.59
2019,6,Monaco Grand Prix,25.0,Right,-6011.154822916444,-9540.232340649318,134.8225032910494,(x - -6011.15)^2 + (y - -9540.23)^2 = 18177.11
2019,6,Monaco Grand Prix,26.0,Right,-6663.255031228314,-9655.93442054129,110.73113877560438,(x - -6663.26)^2 + (y - -9655.93)^2 = 12261.39
2019,6,Monaco Grand Prix,27.0,Left,-7722.020834517483,-9767.061510073496,980.9640635472363,(x - -7722.02)^2 + (y - -9767.06)^2 = 962290.49
2019,6,Monaco Grand Prix,28.0,Right,-3607.6277961071733,-7275.699144529032,3865.7378238845376,(x - -3607.63)^2 + (y - -7275.70)^2 = 14943928.92
2019,7,Canadian Grand Prix,1.0,Left,3586.5184279415816,-1319.806833838523,297.66042610481935,(x - 3586.52)^2 + (y - -1319.81)^2 = 88601.73
2019,7,Canadian Grand Prix,2.0,Right,3505.534319036304,-1973.0099455642585,364.8176371520965,(x - 3505.53)^2 + (y - -1973.01)^2 = 133091.91
2019,7,Canadian Grand Prix,3.0,Right,3427.110872445132,303.3661644984426,2506.0741203272364,(x - 3427.11)^2 + (y - 303.37)^2 = 6280407.50
2019,7,Canadian Grand Prix,4.0,Right,1084.8640376130418,-503.2585951186101,383.82208666855894,(x - 1084.86)^2 + (y - -503.26)^2 = 147319.39
